SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
29172,BAYAN,Elbise,Kısa kollu elbise,119327,2222546 BEGOTANA ELBISE,511,ELBISE,SON KALITE KONTROL,MANUEL,947,18.0,24.42
14162,BAYAN,T-Shirt,Uzun Kol,103730,CDKS24HDONU-BXA79 T-SHIRT,417,T-SHIRT,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1267,20.0,24.41
29172,BAYAN,Elbise,Kısa kollu elbise,118000,2222546 BEGOTANA ELBISE,52,ELBISE,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1320,24.0,24.41
15910,BAYAN,Bluz,Uzun Kollu,112228,2220847 BEGONIA BLUZ,87,T-SHIRT,YAKA LASTIK TAKMA,REÇME,61,20.0,24.41
14170,ÇOCUK,Sweatshirt,Kapşonsuz,105675,CVKS24SSP22-BVE32 SWEATSHIRT,436,T-SHIRT,DANTEL TUTTURMA,DÜZ,1067,20.0,24.4
4980,BAYAN,T-Shirt,Uzun Kol,145188,CDKW24HLELO -CLP91  LEOPARD TSHIRT,569,T-SHIRT,ASKILIK TAKMA,DÜZ,1287,20.0,24.4
46432,ÇOCUK,Elbise,Askılı elbise,128807,2218178 ASKILI BÜRÜMCÜK ELBISE,117,ELBISE,ARKA KOL EVI ÇIMA,OVERLOK,1172,20.0,24.4
13564,BAYAN,T-Shirt,Kısa Kol,110419,2222514 GIZELLI TEK KOLLI TSHIRT,513,T-SHIRT,YAKA TUTTURMA,DÜZ,1277,24.0,24.39
15910,BAYAN,Bluz,Uzun Kollu,115745,2220847 BEGONIA BLUZ,386,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,498,30.0,24.39
6412,BEBEK,T-Shirt,Kısa Kol,109819,MSBS24HMACR-BXC21 BABY TSHIRT,95,T-SHIRT,YAKA BEDENE TUTTURMA,DÜZ,935,22.5,24.39
46432,ÇOCUK,Elbise,Askılı elbise,136130,2218178 ASKILI BÜRÜMCÜK ELBISE,15,ELBISE,ÖN KOL EVI TULUM,OVERLOK,904,20.0,24.39
9158,BAYAN,T-Shirt,Uzun Kol,142234,CDKW24HBARG -CLP12,510,T-SHIRT,SON KALITE KONTROL,MANUEL,1203,25.0,24.39
29172,BAYAN,Elbise,Kısa kollu elbise,118997,2222546 BEGOTANA ELBISE,204,ELBISE,KOL TEPESI BÜZGÜ,DÜZ,1316,22.0,24.39
12711,ÇOCUK,T-Shirt,Kısa Kol,117238,2225749 KROSE YAKALI SHIRT,535,T-SHIRT,IPLIK TEMIZLEME,IPLIK TEMIZLEME,1552,20.0,24.38
