UretimID,ModelAdi,PersonelNo,ModelTipAdi,OperAdi,MakinaTipi,Uretim,Etut,BirimUretimZamani
444,144430499 MIDI TUTU DRESS TÜL ELBISE,444,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,5,120.0,519.6
315,2222514 GIZELLI TEK KOLLI TSHIRT,315,T-SHIRT,SAG YAN PARÇA ÇATMA,OVERLOK,1,27.0,489.0
449,MSBS24HMACR-BXC21 BABY TSHIRT,449,T-SHIRT,ÖN KALITE KONTROL,MANUEL,1,36.0,485.0
323,2222617 BARILAN ELBISE,323,ELBISE,ÖN KALITE KONTROL,MANUEL,39,60.0,484.85
150,2225249 BUBBLE TEE T-SHIRT,150,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,75,30.0,482.47
116,2222518 AMBER CEPLI T-SHIRT,116,T-SHIRT,TALIMAT HAZIRLIK,DÜZ,13,10.0,481.69
553,2231665 OBONODY ZIBIN,553,T-SHIRT,PAÇA LASTIK TAKMA,DÜZ,77,24.0,479.23
299,2225885 JISOONA ELBISE,299,ELBISE,YAN ÇATMA,OVERLOK,4,60.0,457.25
537,2222617 BARILAN ELBISE,537,ELBISE,ARKA ALT ÜST BIRLSTI,REÇME,1,48.0,450.0
342,TOLS24GTMAC BTW38 DANTELLI TSHIRT,342,T-SHIRT,ÜRÜN ASORTI,MANUEL,4,24.0,446.75
428,144430499 MIDI TUTU DRESS TÜL ELBISE,428,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,45,120.0,438.27
509,MSKW24HMIXS  MAVI PARÇALI TSHIRT,509,T-SHIRT,ÖN KALITE KONTROL,MANUEL,4,45.0,427.0
116,2222582 COMPONI,116,ELBISE,TALIMAT HAZIRLIK,DÜZ,26,4.0,423.15
354,2220847 BEGONIA BLUZ,354,T-SHIRT,KOL KIVIRMA,REÇME,4,37.0,414.75
392,2222518 AMBER CEPLI T-SHIRT,392,T-SHIRT,KOL TAKMA,OVERLOK,2,40.0,411.0
464,2222518 AMBER CEPLI T-SHIRT,464,T-SHIRT,YAN ÇATMA,OVERLOK,15,48.0,402.47
428,2222514 GIZELLI TEK KOLLI TSHIRT,428,T-SHIRT,ETEK REÇME,REÇME,1,18.0,400.0
518,2222518 AMBER CEPLI T-SHIRT,518,T-SHIRT,SON KALITE KONTROL,MANUEL,1,20.0,391.0
372,2229267 SALOPET SET,372,ELBISE,ARKA PILE DIKIM,DÜZ,20,30.0,384.05
273,2218178 ASKILI BÜRÜMCÜK ELBISE,273,ELBISE,ÖN ARKA TULUM,REÇME,63,27.0,382.84
407,TOLS24GTMAC BTW38 DANTELLI TSHIRT,407,T-SHIRT,ÜRÜN KATLAMA,MANUEL,20,15.0,381.5
466,CDKW24HLELO -CLP91  LEOPARD TSHIRT,466,T-SHIRT,FIYONK TAKMA,DÜZ,44,51.0,378.73
354,2222546 BEGOTANA ELBISE,354,ELBISE,KOL AGZI LASTIK TUTTURMA,DÜZ,65,55.0,371.46
506,2222514 GIZELLI TEK KOLLI TSHIRT,506,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,69,18.0,356.59
444,144430499 MIDI TUTU DRESS TÜL ELBISE,444,ELBISE,TÜL BIRLESTIRME,DÜZ,5,60.0,354.6
323,2228071 MILKY WAY SIYAH ELBISE,323,ELBISE,ÖN KALITE KONTROL,MANUEL,2,65.0,351.5
194,2225885 JISOONA ELBISE,194,ELBISE,OMUZ ÇATMA,OVERLOK,39,36.0,351.08
369,2220847 BEGONIA BLUZ,369,T-SHIRT,ALT ETEK HAZIRLIK,OVERLOK,8,36.0,346.88
557,2223370 DILAMON ELBISE,557,ELBISE,IPLIK TEMIZLEME,IPLIK TEMIZLEME,36,24.0,345.53
553,2231665 OBONODY ZIBIN,553,T-SHIRT,PAÇA LASTIK TAKMA,DÜZ,41,24.0,342.37
186,144430499 MIDI TUTU DRESS TÜL ELBISE,186,ELBISE,BEDEN TÜL TAKMA 2,OVERLOK,7,80.0,341.0
300,2222518 AMBER CEPLI T-SHIRT,300,T-SHIRT,YAN ÇATMA,OVERLOK,10,48.0,332.8
287,2220847 BEGONIA BLUZ,287,T-SHIRT,ALT ETEK LSTIK KAPAM,DÜZ,64,48.0,331.84
46,2222582 COMPONI,46,ELBISE,KOL TAKMA,OVERLOK,106,80.0,330.68
458,CDKS24HDONU-BXA79 T-SHIRT,458,T-SHIRT,KOL KISTIRMA,DÜZ,113,24.0,329.7
515,144430499 MIDI TUTU DRESS TÜL ELBISE,515,ELBISE,TÜL ASTAR BIRLSTME,OVERLOK,34,120.0,329.53
540,CVKW24SGPAR-CPL95 BASKILI SWEAT,540,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,5,48.0,329.4
454,2226835 CHAIKA BLUZ,454,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,5,27.0,328.2
175,SBKS24DSPO2-BUB59 ELBISE,175,ELBISE,DANTEL BEDENE TAKMA,DÜZ,1,60.0,318.0
229,2231665 OBONODY ZIBIN,229,T-SHIRT,ENSE BIYE TAKMA,REÇME,2,12.85,316.0
369,2220847 BEGONIA BLUZ,369,T-SHIRT,ÖN KOL TAKMA,OVERLOK,42,30.0,311.4
515,2225757-2LI BÜRÜMCEK ELBISE,515,ELBISE,ETEK REÇME,REÇME,1,23.0,307.0
373,2222518 AMBER CEPLI T-SHIRT,373,T-SHIRT,KOL KIVIRMA,REÇME,1,37.0,307.0
384,2222518 AMBER CEPLI T-SHIRT,384,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,1,40.0,293.0
553,2231665 OBONODY ZIBIN,553,T-SHIRT,PAÇA LASTIK TAKMA,DÜZ,49,24.0,291.86
493,2229267 SALOPET SET,493,ELBISE,TALIMAT HAZIRLIK,DÜZ,7,10.0,287.71
612,CVKW24SGPAR-CPL95 BASKILI SWEAT,612,T-SHIRT,BEDEN ÜTÜ,ÜTÜ,29,48.0,287.0
315,2225757-2LI BÜRÜMCEK ELBISE,315,ELBISE,ETEK REÇME,REÇME,1,23.0,285.0
514,CDKS24HDONU-BXA79 T-SHIRT,514,T-SHIRT,KOL REÇME,REÇME,14,20.0,282.93
464,CDKW24HLELO -CLP91  LEOPARD TSHIRT,464,T-SHIRT,YAN ÇATMA,OVERLOK,84,60.0,276.8
