SIPARIS_ADEDI,GIYSI_GRUBU,GIYSI_CINSI,GIYSI_CINSI_DETAYI,ModelID,SipID,HataAdi,HataAdedi,Tarih
13392,BAYAN,T-Shirt,Kısa Kol,389,365,AYAR AÇIKLIĞI,7,2024-05-30
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,7,2024-02-20
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,7,2024-01-03
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,7,2024-01-22
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,7,2023-12-25
9476,BAYAN,Elbise,uzun kollu elbise,398,375,JUT,7,2024-06-25
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,7,2024-02-29
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,7,2024-03-07
27981,BAYAN,T-Shirt,Kısa Kol,323,299,İĞNE DELİĞİ,7,2024-03-08
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,7,2024-07-06
19349,BAYAN,T-Shirt,Uzun Kol,427,404,SIMETRI,7,2024-07-31
24118,ÇOCUK,T-Shirt,Uzun Kol,447,1423,KAPTIRMA,7,2024-08-23
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,7,2024-07-04
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,DİKİŞ KESİĞİ,6,2024-04-02
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,6,2024-01-10
6412,BEBEK,T-Shirt,Kısa Kol,317,295,KUMAŞ LEKE,6,2024-02-16
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,6,2024-01-23
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİM LEKE,6,2024-02-20
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,6,2024-01-02
32073,BAYAN,T-Shirt,Uzun Kol,297,275,DİKİŞ YÖNÜ TERS,6,2023-12-25
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,6,2024-01-18
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ KESİĞİ,6,2024-02-15
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,6,2024-01-25
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KAPTIRMA,6,2024-01-11
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,6,2024-06-04
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,6,2024-01-17
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,6,2024-03-04
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,6,2023-12-21
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,6,2024-01-17
6412,BEBEK,T-Shirt,Kısa Kol,317,295,PATLAK,6,2024-02-16
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,PATLAK,6,2024-07-11
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAŞ LEKE,6,2024-03-05
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KAPTIRMA,6,2024-01-09
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KAPTIRMA,6,2024-01-09
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,6,2023-12-14
32073,BAYAN,T-Shirt,Uzun Kol,297,275,DİKİŞ KESİĞİ,6,2023-12-14
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ GÖRÜNMESİ,6,2024-05-31
19349,BAYAN,T-Shirt,Uzun Kol,427,404,SIMETRI,6,2024-07-30
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,6,2024-01-26
22113,ÇOCUK,Elbise,3/4 kol,309,287,RENK FARKI,6,2024-01-30
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,6,2024-05-14
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,EKSİK DİKİŞ,5,2024-03-11
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,PATLAK,5,2024-04-17
13392,BAYAN,T-Shirt,Kısa Kol,389,365,JUT,5,2024-06-05
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,5,2023-12-26
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ GÖRÜNMESİ,5,2024-02-24
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,5,2023-12-27
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,5,2024-07-08
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,5,2024-02-27
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,5,2023-12-18
8650,BAYAN,Elbise,Kısa kollu elbise,352,328,PATLAK,5,2024-04-03
15870,BAYAN,T-Shirt,Kısa Kol,300,278,SIMETRI,5,2024-01-04
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,PATLAK,5,2024-01-15
13564,BAYAN,T-Shirt,Kısa Kol,318,296,KUMAŞ LEKE,5,2024-02-08
19349,BAYAN,T-Shirt,Uzun Kol,427,404,SIMETRI,5,2024-07-30
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,5,2024-03-05
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,5,2024-01-23
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,5,2023-12-20
15870,BAYAN,T-Shirt,Kısa Kol,300,278,KAPTIRMA,5,2024-01-03
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,5,2024-01-24
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,KAPTIRMA,5,2024-01-11
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,RENK FARKI,5,2024-01-17
32073,BAYAN,T-Shirt,Uzun Kol,297,275,DİKİŞ YÖNÜ TERS,5,2023-12-26
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,5,2024-05-16
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,5,2024-02-20
19349,BAYAN,T-Shirt,Uzun Kol,427,404,AKSESUAR HATASI,5,2024-07-26
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,5,2024-04-29
9158,BAYAN,T-Shirt,Uzun Kol,388,364,KUMAŞ LEKE,5,2024-06-05
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,5,2024-06-07
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,PATLAK,5,2024-07-12
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,5,2024-03-08
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,METO,5,2024-03-12
22113,ÇOCUK,Elbise,3/4 kol,309,287,İP,5,2024-01-19
24118,ÇOCUK,T-Shirt,Uzun Kol,447,1423,PATLAK,5,2024-08-22
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,EKSİK DİKİŞ,5,2024-03-07
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ GÖRÜNMESİ,5,2024-02-08
32073,BAYAN,T-Shirt,Uzun Kol,297,275,DİKİŞ ATLAMASI,5,2023-12-14
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,PATLAK,5,2024-07-10
5194,ÇOCUK,Elbise,Kolsuz elbise,360,336,EKSİK AKSESUAR,5,2024-04-23
32073,BAYAN,T-Shirt,Uzun Kol,297,275,BÜZGÜ DAĞILIMI,5,2023-12-15
27981,BAYAN,T-Shirt,Kısa Kol,323,299,EKSİK DİKİŞ,5,2024-02-15
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ YÖNÜ TERS,5,2024-01-02
5194,ÇOCUK,Elbise,Kolsuz elbise,360,336,EKSİK DİKİŞ,5,2024-04-23
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,SIMETRI,5,2024-01-18
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,4,2024-07-08
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ DALGALANMASI,4,2024-02-07
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,NAKIS HATASI,4,2024-01-18
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ ATLAMASI,4,2024-06-01
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAS DEFOSU,4,2024-05-31
4637,BAYAN,Elbise,Kolsuz elbise,349,325,JUT,4,2024-03-26
14162,BAYAN,T-Shirt,Uzun Kol,306,284,GİR-ÇIK EŞTSZ.,4,2024-01-17
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,4,2023-12-15
14162,BAYAN,T-Shirt,Uzun Kol,306,284,DİKİŞ DALGALANMASI,4,2024-01-10
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,4,2024-07-09
13564,BAYAN,T-Shirt,Kısa Kol,318,296,KAPTIRMA,4,2024-02-08
6412,BEBEK,T-Shirt,Kısa Kol,317,295,SIMETRI,4,2024-02-07
14162,BAYAN,T-Shirt,Uzun Kol,306,284,DİKİŞ ATLAMASI,4,2024-01-13
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,4,2024-05-31
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ GÖRÜNMESİ,4,2024-02-15
4637,BAYAN,Elbise,Kolsuz elbise,349,325,KUMAŞ LEKE,4,2024-03-27
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KAPTIRMA,4,2024-01-02
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,4,2024-01-23
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,4,2023-12-14
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,4,2024-01-20
14162,BAYAN,T-Shirt,Uzun Kol,306,284,PATLAK,4,2024-01-13
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KUMAS DEFOSU,4,2024-03-01
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,4,2024-05-02
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,PATLAK,4,2024-07-12
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ ATLAMASI,4,2024-06-05
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ GÖRÜNMESİ,4,2023-12-26
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,EKSİK AKSESUAR,4,2023-12-28
6412,BEBEK,T-Shirt,Kısa Kol,317,295,SIMETRI,4,2024-02-08
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ ATLAMASI,4,2024-02-20
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,4,2024-05-15
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,4,2023-12-27
11635,BAYAN,Tulum,Kısa Kollu Tulum,355,331,KUMAŞ LEKE,4,2024-04-08
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,İĞNE DELİĞİ,4,2024-02-28
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,DİKİM LEKE,4,2024-01-11
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,PATLAK,4,2024-07-13
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,SIMETRI,4,2023-12-25
22113,ÇOCUK,Elbise,3/4 kol,309,287,DİKİŞ DÜŞMESİ,4,2024-01-18
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,4,2024-03-18
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ DÜŞMESİ,4,2024-02-24
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,AYAR AÇIKLIĞI,4,2024-03-11
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,4,2024-01-27
12711,ÇOCUK,T-Shirt,Kısa Kol,339,315,EKSİK DİKİŞ,4,2024-03-12
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,4,2023-12-21
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,4,2023-12-25
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,4,2023-12-26
14402,ÇOCUK,Sweatshirt,Kapşonsuz,414,391,KUMAŞ LEKE,4,2024-07-17
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,4,2024-02-19
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,NAKIS HATASI,4,2024-01-16
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,KAPTIRMA,4,2024-03-13
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,NAKIS HATASI,4,2024-01-17
14162,BAYAN,T-Shirt,Uzun Kol,306,284,PATLAK,4,2024-01-09
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİM LEKE,4,2024-02-19
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,4,2024-03-12
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,DİKİŞ YÖNÜ TERS,4,2023-12-29
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,4,2023-12-26
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,PATLAK,4,2024-01-17
32073,BAYAN,T-Shirt,Uzun Kol,297,275,KUMAŞ LEKE,4,2023-12-22
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ YÖNÜ TERS,4,2024-05-29
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ GÖRÜNMESİ,3,2024-02-08
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,3,2024-02-29
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ GÖRÜNMESİ,3,2024-02-07
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,NAKIS HATASI,3,2024-01-23
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,3,2024-01-22
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,PATLAK,3,2024-01-22
27981,BAYAN,T-Shirt,Kısa Kol,323,299,PATLAK,3,2024-02-28
22113,ÇOCUK,Elbise,3/4 kol,309,287,İP,3,2024-01-25
13392,BAYAN,T-Shirt,Kısa Kol,389,365,JUT,3,2024-06-01
22113,ÇOCUK,Elbise,3/4 kol,309,287,AKSESUAR HATASI,3,2024-01-26
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,3,2024-02-29
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KAPTIRMA,3,2024-05-10
4980,BAYAN,T-Shirt,Uzun Kol,395,371,KAPTIRMA,3,2024-06-13
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,3,2024-01-26
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,NAKIS HATASI,3,2024-01-22
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,3,2024-01-27
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,3,2024-06-07
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,3,2024-02-28
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,3,2024-02-28
20625,ÇOCUK,T-Shirt,Kısa Kol,313,291,KUMAŞ LEKE,3,2024-02-06
9476,BAYAN,Elbise,uzun kollu elbise,398,375,JUT,3,2024-06-24
22113,ÇOCUK,Elbise,3/4 kol,309,287,İP,3,2024-01-30
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,3,2024-01-17
22113,ÇOCUK,Elbise,3/4 kol,309,287,SIMETRI,3,2024-01-30
27981,BAYAN,T-Shirt,Kısa Kol,323,299,EKSİK AKSESUAR,3,2024-02-24
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,3,2024-01-18
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,3,2024-05-07
6412,BEBEK,T-Shirt,Kısa Kol,317,295,DİKİŞ GÖRÜNMESİ,3,2024-02-16
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,3,2024-06-04
6412,BEBEK,T-Shirt,Kısa Kol,317,295,PATLAK,3,2024-02-16
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAŞ LEKE,3,2024-06-04
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ GÖRÜNMESİ,3,2024-02-19
14162,BAYAN,T-Shirt,Uzun Kol,306,284,KUMAŞ LEKE,3,2024-01-22
13392,BAYAN,T-Shirt,Kısa Kol,389,365,KUMAS DEFOSU,3,2024-06-04
13392,BAYAN,T-Shirt,Kısa Kol,389,365,AYAR AÇIKLIĞI,3,2024-06-04
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,3,2024-05-03
6412,BEBEK,T-Shirt,Kısa Kol,317,295,EKSİK DİKİŞ,3,2024-02-16
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,3,2024-02-20
9143,BAYAN,Elbise,Kısa kollu elbise,376,353,KAPTIRMA,3,2024-05-21
27981,BAYAN,T-Shirt,Kısa Kol,323,299,PATLAK,3,2024-02-15
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ GÖRÜNMESİ,3,2024-06-05
9476,BAYAN,Elbise,uzun kollu elbise,398,375,AYAR AÇIKLIĞI,3,2024-06-27
9476,BAYAN,Elbise,uzun kollu elbise,398,375,JUT,3,2024-06-27
6412,BEBEK,T-Shirt,Kısa Kol,317,295,SIMETRI,3,2024-02-09
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,DİKİM LEKE,3,2024-01-11
46432,ÇOCUK,Elbise,Askılı elbise,364,340,KUMAŞ LEKE,3,2024-05-08
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KUMAŞ LEKE,3,2024-02-20
27981,BAYAN,T-Shirt,Kısa Kol,323,299,KAPTIRMA,3,2024-02-20
13392,BAYAN,T-Shirt,Kısa Kol,389,365,DİKİŞ GÖRÜNMESİ,3,2024-06-04
14170,ÇOCUK,Sweatshirt,Kapşonsuz,307,285,KUMAŞ LEKE,3,2024-01-20
22113,ÇOCUK,Elbise,3/4 kol,309,287,KAPTIRMA,3,2024-01-30
27981,BAYAN,T-Shirt,Kısa Kol,323,299,DİKİŞ KESİĞİ,3,2024-03-07
22113,ÇOCUK,Elbise,3/4 kol,309,287,KAPTIRMA,3,2024-01-25
6412,BEBEK,T-Shirt,Kısa Kol,317,295,KAPTIRMA,3,2024-02-16
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,3,2024-07-04
19824,ÇOCUK,T-Shirt,Kısa Kol,305,283,PATLAK,3,2024-01-10
15910,BAYAN,Bluz,Uzun Kollu,324,301,KUMAŞ LEKE,3,2024-02-28
32073,BAYAN,T-Shirt,Uzun Kol,297,275,SIMETRI,3,2023-12-25
29172,BAYAN,Elbise,Kısa kollu elbise,330,306,JUT,3,2024-03-11
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KUMAŞ LEKE,3,2023-12-28
4887,ÇOCUK,Sweatshirt,Kapşonlu,405,380,PATLAK,3,2024-07-04
14292,ÇOCUK,T-Shirt,Kısa Kol,298,276,KAPTIRMA,3,2023-12-28
